id,key,value,unit,status,evidence
QA.INSTALL.STANDARD,Standard dependency install,PASS,,VERIFIED,"local command: npm ci; 893 packages installed without force or legacy-peer-deps; exit 0; 2026-09-01"
QA.INSTALL.LEGACY,Legacy peer dependency install,NOT_REQUIRED,,VERIFIED,"dependency peer contract corrected; standard npm ci is canonical; owner ExcelAI maintainer; 2026-09-01"
QA.DEP.VULNERABILITIES,Full dependency vulnerabilities,4,findings,VERIFIED,"local command: npm audit --json; 1 high + 2 moderate + 1 low, all dev-toolchain; owner ExcelAI maintainer; 2026-09-01"
QA.DEP.CRITICAL,Critical dependency vulnerabilities,0,findings,VERIFIED,"local command: npm audit --json; current advisory registry; 2026-09-01"
QA.DEP.PRODUCTION,Production dependency vulnerabilities,0,findings,VERIFIED,"local command: npm audit --omit=dev --json; all severities zero; 2026-09-01"
QA.DEP.DEV_HIGH,Development dependency high vulnerabilities,1,findings,VERIFIED,"Vite <=6 advisory affects local dev server; fixed release requires Vite 8 major migration; owner ExcelAI maintainer; 2026-09-01"
QA.DEP.DEV_MODERATE,Development dependency moderate vulnerabilities,2,findings,VERIFIED,"Vite/esbuild and vite-plugin-pwa advisory chain is excluded from production install; owner ExcelAI maintainer; 2026-09-01"
QA.DEP.DEV_LOW,Development dependency low vulnerabilities,1,findings,VERIFIED,"Babel sourceMappingURL local compiler input advisory; no production dependency exposure; owner ExcelAI maintainer; 2026-09-01"
QA.FRONTEND.BUILD,Frontend production build,PASS,,VERIFIED,"local command: npm run build after clean npm ci; exit 0; 2026-09-01"
QA.FRONTEND.BUILD_TIME,Frontend build time,20.51,seconds,VERIFIED,"local command: npm run build after final trusted AI write guards; Vite output; 2026-09-01"
QA.BUNDLE.EXCELJS,ExcelJS minified chunk,931.15,kB,VERIFIED,"local command: npm run build; dist/assets/vendor-exceljs; 2026-08-27"
QA.BUNDLE.CSS,Main CSS minified size,598.90,kB,VERIFIED,"local command: npm run build; dist/assets/index CSS; 2026-09-01"
QA.BUILD.CIRCULAR_CHUNK,Circular chunk warning,engine-functions -> engine-core -> engine-functions,,VERIFIED,"local command: npm run build; Vite warning; 2026-08-27"
QA.SERVER.BUILD,Server TypeScript build,PASS,,VERIFIED,"local command: npm run build:server; strict NodeNext ESM compile exit 0; 2026-09-01"
QA.SERVER.TS_ERRORS,Server TypeScript errors,0,errors,VERIFIED,"local command: npm run build:server; 2026-09-01"
QA.SERVER.CONFIG_TESTS,Server environment and status tests,10,tests,VERIFIED,"local command: npm run test:server; 2/2 files and 10/10 tests pass; 2026-09-01"
QA.SERVER.COMPILED_BOOT,Compiled server boot and health,PASS,,VERIFIED,"local command: npm run start:server then GET /api/health; server/dist/index.js booted and returned HTTP 200; 2026-09-01"
QA.SERVER.FAIL_CLOSED,Disabled server features fail closed,PASS,,VERIFIED,"local HTTP checks: AI billing and SCIM returned HTTP 503 without credentials; owner ExcelAI maintainer; 2026-09-01"
QA.UNIT.TEST_FILES,Passing unit test files,38,files,VERIFIED,"local command: npm run test:run; 38/38; 2026-09-01"
QA.UNIT.TESTS,Passing unit tests,1894,tests,VERIFIED,"local command: npm run test:run; 1894/1894; 2026-09-01"
QA.LINT.ERRORS,ESLint errors,0,errors,VERIFIED,"local command: npm run lint; exit 0 with 0 errors and 187 warnings; 2026-09-01"
QA.LINT.WARNINGS,ESLint warnings,187,warnings,VERIFIED,"local command: npm run lint; warnings remain visible and non-blocking; owner ExcelAI maintainer; 2026-09-01"
QA.FORMAT.DRIFT,Files failing Prettier check,0,files,VERIFIED,"local command: npm run format:check; all matched files use Prettier code style; 2026-09-01"
QA.E2E.VERIFY,Chromium feature verification,16,tests passed,VERIFIED,"local command: npm run test:e2e:verify -- --project=chromium; 16/16 passed; 2026-09-01"
QA.E2E.PORT_MISMATCH,E2E dev server port mismatch,RESOLVED,,VERIFIED,"source scan and local command: Playwright baseURL and webServer both http://127.0.0.1:5174 with strictPort; 2026-09-01"
QA.E2E.CRITICAL,Deterministic Chromium release gate,5,tests passed,VERIFIED,"local command: npm run test:e2e:critical; 5/5 passed including explicit AI offline-to-demo opt-in and trusted write rollback; 2026-09-01"
QA.E2E.PORT_COLLISION,Occupied E2E port fails loudly,PASS,,VERIFIED,"local command: second npm run dev -- --host 127.0.0.1 --strictPort exited 1 with Port 5174 is already in use; 2026-09-01"
QA.E2E.FAILURE_ARTIFACTS,Failed E2E retains evidence,PASS,,VERIFIED,"local failed mobile run retained trace.zip screenshot PNG video WebM and error-context.md under test-results; 2026-09-01"
QA.CI.WORKFLOW_SYNTAX,GitHub Actions workflow syntax,PASS,,VERIFIED,"local command: Ruby YAML parser loaded .github/workflows/ci.yml; Node scripts pass syntax checks; 2026-09-01"
QA.CI.LOCAL_SIMULATION,Clean-install CI gate simulation,PASS,,VERIFIED,"standard npm ci baseline plus current lint format builds 1894 unit tests 10 server tests 4 governance bites 5 Chromium journeys and production audit all pass; 2026-09-01"
QA.CI.REMOTE_RUN,Remote GitHub Actions run,NOT_RUN,,VERIFIED,"workflow exists only in local working tree and has not been pushed; no remote run is claimed; owner ExcelAI maintainer; 2026-09-01"
QA.SOT.PORTABLE,Portable SOT adversarial tests,4,tests passed,VERIFIED,"local command: npm run test:governance; clean stale-token A3-exposure and canonical-hash scenarios all pass; 2026-09-01"
QA.RELEASE.CLASSIFICATION,Derived release classification,NOT_PRODUCTION_READY,,VERIFIED,"local command: npm run release:evidence; README and JSON derive from canonical SOT and all scoped stabilization gates pass; 2026-09-01"
QA.AI.DEFAULT_STATE,Default AI runtime state,offline,,VERIFIED,"unit and Chromium checks: default mockMode false; unconfigured send throws AI_UNAVAILABLE and UI input is disabled; 2026-09-01"
QA.AI.MOCK_OPT_IN,AI demo requires explicit opt-in,PASS,,VERIFIED,"unit and Chromium checks: simulated response only after Enable demo and UI labels simulated answers; 2026-09-01"
QA.AI.CONFIGURED_PROXY,Configured AI proxy state,PASS,,VERIFIED,"unit test: configured status selects server-proxy transport and sends chat to /api/ai/chat; no external model credential used; 2026-09-01"
QA.AI.TRUSTED_WRITE,Trusted AI write transaction,PASS,,VERIFIED,"focused integration test and Chromium journey: exact before/after preview captured-sheet apply history and one-time rollback all pass; 2026-09-01"
QA.AI.WRITE.SHAPE_GUARD,AI write matrix shape guard,PASS,,VERIFIED,"focused integration test: A1:B2 with a 1x1 payload throws before pending action creation or workbook mutation; 2026-09-01"
QA.AI.WRITE.AUDIT,AI write action audit durability,PASS,,VERIFIED,"runtime awaits proposal approval apply and rollback audit writes; AIUsageLogger flushes tool events to append-only IndexedDB before success; verified by integration and Chromium tests; 2026-09-01"
